dataset_key,dataset,repeat,seed,metric,selected_candidate,validation_metric_value,test_mcc
synth1,synth(1%),0,42,MCC_05,logreg_C0.1,0.0,0.07977073991724283
synth1,synth(1%),1,43,SoftMCC,hgb_d6,0.05369268807118888,0.20780441903521993
synth1,synth(1%),1,43,MCC_best,hgb_d6,0.26017328671235745,0.20780441903521993
synth1,synth(1%),1,43,F1_best,hgb_d6,0.26666666666666666,0.20780441903521993
synth1,synth(1%),1,43,AUPRC,hgb_d6,0.15395568282224942,0.20780441903521993
synth1,synth(1%),1,43,AUROC,hgb_d3,0.6526839339339341,0.08254150232264756
synth1,synth(1%),1,43,Brier_neg,hgb_d6,-0.012524719543734126,0.20780441903521993
synth1,synth(1%),1,43,MCC_05,logreg_C1.0,0.0,0.06146709247816404
synth1,synth(1%),2,44,SoftMCC,hgb_d6,0.02463797307379339,0.25006796892891725
synth1,synth(1%),2,44,MCC_best,hgb_d6,0.24534987303147357,0.25006796892891725
synth1,synth(1%),2,44,F1_best,hgb_d6,0.25,0.25006796892891725
synth1,synth(1%),2,44,AUPRC,hgb_d6,0.0952661171145068,0.25006796892891725
synth1,synth(1%),2,44,AUROC,hgb_d3,0.7793731231231231,0.22674811459221675
synth1,synth(1%),2,44,Brier_neg,hgb_d6,-0.012848439416911807,0.25006796892891725
synth1,synth(1%),2,44,MCC_05,logreg_C0.1,0.0,0.10380968379082711
synth1,synth(1%),3,45,SoftMCC,hgb_d3,0.03412071895146141,0.2247928801946505
synth1,synth(1%),3,45,MCC_best,logreg_C1.0,0.22023468455227477,0.17801830219228934
synth1,synth(1%),3,45,F1_best,logreg_C1.0,0.23076923076923078,0.17801830219228934
synth1,synth(1%),3,45,AUPRC,hgb_d3,0.14840114376841046,0.2247928801946505
synth1,synth(1%),3,45,AUROC,hgb_d6,0.8388231981981982,0.22478471742269215
synth1,synth(1%),3,45,Brier_neg,hgb_d3,-0.012565367660337837,0.2247928801946505
synth1,synth(1%),3,45,MCC_05,logreg_C0.1,0.0,0.1641380463013778
synth1,synth(1%),4,46,SoftMCC,hgb_d3,0.0506429493475347,0.0695369095107104
synth1,synth(1%),4,46,MCC_best,logreg_C1.0,0.28039985489311264,-0.008916522972245843
synth1,synth(1%),4,46,F1_best,logreg_C1.0,0.2857142857142857,-0.008916522972245843
synth1,synth(1%),4,46,AUPRC,logreg_C1.0,0.13674623821682644,-0.008916522972245843
synth1,synth(1%),4,46,AUROC,hgb_d6,0.8519613363363363,0.12961330625895262
synth1,synth(1%),4,46,Brier_neg,hgb_d6,-0.012568997718479831,0.12961330625895262
synth1,synth(1%),4,46,MCC_05,hgb_d3,0.13786641683151626,0.0695369095107104
synth1,synth(1%),5,47,SoftMCC,hgb_d6,0.02974748989008292,0.2183262504452183
synth1,synth(1%),5,47,MCC_best,hgb_d6,0.19427980129935551,0.2183262504452183
synth1,synth(1%),5,47,F1_best,hgb_d6,0.19047619047619047,0.2183262504452183
synth1,synth(1%),5,47,AUPRC,hgb_d6,0.07591022424667362,0.2183262504452183
synth1,synth(1%),5,47,AUROC,hgb_d6,0.7777308558558559,0.2183262504452183
synth1,synth(1%),5,47,Brier_neg,logreg_C0.1,-0.01325930770898485,0.09484687134780007
synth1,synth(1%),5,47,MCC_05,logreg_C0.1,0.0,0.09484687134780007
synth1,synth(1%),6,48,SoftMCC,hgb_d6,0.034562675946766604,0.17451786027558513
synth1,synth(1%),6,48,MCC_best,logreg_C0.1,0.23871750049096221,0.19874916313337848
synth1,synth(1%),6,48,F1_best,logreg_C0.1,0.24242424242424243,0.19874916313337848
synth1,synth(1%),6,48,AUPRC,hgb_d6,0.13093689535848035,0.17451786027558513
synth1,synth(1%),6,48,AUROC,hgb_d6,0.7719125375375375,0.17451786027558513
synth1,synth(1%),6,48,Brier_neg,hgb_d6,-0.012529262299554896,0.17451786027558513
synth1,synth(1%),6,48,MCC_05,logreg_C0.1,0.0,0.19874916313337848
synth1,synth(1%),7,49,SoftMCC,hgb_d6,0.02001958782355902,0.16019079961607038
synth1,synth(1%),7,49,MCC_best,hgb_d6,0.14595755564898044,0.16019079961607038
synth1,synth(1%),7,49,F1_best,hgb_d6,0.13333333333333333,0.16019079961607038
synth1,synth(1%),7,49,AUPRC,hgb_d6,0.0663038357977154,0.16019079961607038
synth1,synth(1%),7,49,AUROC,hgb_d6,0.6911599099099098,0.16019079961607038
synth1,synth(1%),7,49,Brier_neg,hgb_d6,-0.013169817102344529,0.16019079961607038
