dataset_key,dataset,repeat,seed,candidate,candidate_index,validation_mccbest_threshold,test_mcc_at_validation_mccbest_threshold,validation_log_loss,validation_ece_10,validation_prob_mean,validation_prob_variance,validation_pos_rate,score_SoftMCC,score_MCC_best,score_F1_best,score_AUPRC,score_AUROC,score_Brier_neg,score_MCC_05
bc,breast_cancer(37%),5,47,logreg_C1.0,1,0.3751771011620896,0.911158407526304,0.5071707182407171,0.04631080295200675,0.351712397805569,0.20146237561978586,0.375,0.855649004101642,0.9164463522048965,0.9473684210526315,0.9674061364447105,0.9733072916666667,-0.04077722739495222,0.8996680586556846
bc,breast_cancer(37%),5,47,logreg_C10.0,2,0.4464285714285714,0.8675034270773535,0.07727126713045444,0.03504823580197604,0.3505500625541676,0.20370635554672917,0.375,0.8959851110124497,0.9666666666666667,0.9791666666666666,0.9932777496547179,0.99609375,-0.024742109828810678,0.916787749092078
bc,breast_cancer(37%),5,47,hgb_d3,3,0.5531181015703797,0.8956181052379152,0.08298209225988543,0.03363346859871933,0.3664570029940736,0.20319811611714728,0.375,0.882357164653334,0.9333005094465512,0.9574468085106383,0.9923662697148722,0.9959635416666666,-0.025994681844556607,0.9164463522048965
bc,breast_cancer(37%),5,47,hgb_d6,4,0.331993523198142,0.8947661532504989,0.0875286136407022,0.03412512564950209,0.3641215753362014,0.19682919990800246,0.375,0.8667934105599459,0.934395000572037,0.9591836734693877,0.9927898007488684,0.995703125,-0.027480533909643865,0.9
bc,breast_cancer(37%),6,48,logreg_C0.1,0,0.7536486162567252,0.8403249885054853,0.14398924090814352,0.04546037847913698,0.37630448641964664,0.19027183880618315,0.375,0.8034655903615029,0.8703882797784892,0.9130434782608695,0.9769961544725736,0.9850260416666667,-0.04776347490498506,0.8491904957028004
bc,breast_cancer(37%),6,48,logreg_C1.0,1,0.5,0.9097751526641134,0.11392899660702646,0.04216980467702757,0.3789040231761339,0.19862501435302404,0.375,0.8429135043851038,0.9,0.9375,0.9846869887950732,0.990234375,-0.03709053752570561,0.9
bc,breast_cancer(37%),6,48,logreg_C10.0,2,0.3929218011051603,0.9251281457541922,0.11410558973604203,0.041605574511426234,0.3839229530180769,0.20078917967732168,0.375,0.8482541224132054,0.9171387823148716,0.9484536082474226,0.984184121187232,0.9891927083333333,-0.03580415089780734,0.9
bc,breast_cancer(37%),6,48,hgb_d3,3,0.3758312047555067,0.910062893081761,0.12275532610564288,0.04516699261037755,0.37536850108540565,0.1919081370157002,0.375,0.8226329562606994,0.9013190713482481,0.9387755102040817,0.9828106049818984,0.9897135416666667,-0.040598408408861364,0.8829891223974392
bc,breast_cancer(37%),6,48,hgb_d6,4,0.4093842808314681,0.8947661532504989,0.12180990798578525,0.02999160518859871,0.3745505966773889,0.19110852506629494,0.375,0.8215881353689224,0.9164463522048965,0.9473684210526315,0.9847207638694697,0.9906250000000001,-0.040456771720129944,0.8829891223974392
bc,breast_cancer(37%),7,49,logreg_C0.1,0,0.40476190476190477,0.880083857442348,0.19339418726398844,0.04724350355508202,0.3392783445148658,0.16589760465215708,0.375,0.7360106952691152,0.8498920293003742,0.9010989010989011,0.9606897806606491,0.976953125,-0.06413929825392467,0.8035496299527932
bc,breast_cancer(37%),7,49,logreg_C1.0,1,0.3410714285714284,0.8947661532504989,0.18331242399686182,0.059743616627273705,0.3426001333727263,0.16539996113797895,0.375,0.7346302654244601,0.8491904957028004,0.9032258064516129,0.9640072602243654,0.9821614583333333,-0.06325534935096475,0.7844767824132178
bc,breast_cancer(37%),7,49,logreg_C10.0,2,0.3357142857142857,0.8947661532504989,0.15280165750633762,0.036259308491060155,0.3540546944756194,0.17270436879192214,0.375,0.7736098839313036,0.9,0.9375,0.9674859439019229,0.9837239583333333,-0.04930560509198273,0.8660356078648178
bc,breast_cancer(37%),7,49,hgb_d3,3,0.20277092563456023,0.8274184376468869,0.12413421581513417,0.04393130922190584,0.3426572324447609,0.19093628579705144,0.375,0.8511640820481885,0.9503383762448216,0.9690721649484536,0.9857263084419239,0.9893229166666666,-0.035224012785584076,0.9021937088963173
bc,breast_cancer(37%),7,49,hgb_d6,4,0.4237876196532914,0.8947661532504989,0.12616792056914727,0.04120192089068223,0.3414030006069023,0.18668697262103773,0.375,0.8423517305718184,0.9343531843023135,0.9583333333333334,0.9867380414217556,0.9904947916666665,-0.035447562112545496,0.8862508747678729
bc,breast_cancer(37%),8,50,logreg_C0.1,0,0.4587500000000002,0.8649565325663754,0.14730013899458827,0.0334887853284461,0.3867033750935124,0.18344504525234961,0.375,0.7928842978964868,0.8829688598869094,0.9263157894736842,0.9762390777414741,0.987109375,-0.04408778376917467,0.8829688598869094
bc,breast_cancer(37%),8,50,logreg_C1.0,1,0.4634924045217401,0.910062893081761,0.13810086921721365,0.03764904110450181,0.39395146467520237,0.19140695764316937,0.375,0.8156474986548509,0.9164463522048965,0.9473684210526315,0.9811316985851357,0.9904947916666667,-0.040251395326161454,0.8996680586556846
bc,breast_cancer(37%),8,50,logreg_C10.0,2,0.4252912099720609,0.8971669828095538,0.13246449072004787,0.051294011947836865,0.4010890408015821,0.18962313295624544,0.375,0.8123046686919503,0.9171387823148716,0.9484536082474226,0.9826634832358472,0.9911458333333334,-0.039194985278477645,0.9
bc,breast_cancer(37%),8,50,hgb_d3,3,0.8532995468388477,0.8687444855261387,0.08200884132843939,0.035373876795452494,0.4067197634705855,0.20558705248679654,0.375,0.8759224780457759,0.9505863757867169,0.967741935483871,0.9942899904214559,0.996484375,-0.024358965050484134,0.934395000572037
bc,breast_cancer(37%),8,50,hgb_d6,4,0.6961236838462225,0.8663835061269969,0.07519148925629171,0.03626702549870154,0.40770249892762017,0.20612277808602902,0.375,0.8823508261519095,0.9669329602374179,0.9787234042553191,0.9957144979203802,0.9973958333333333,-0.02174196562226979,0.9333333333333333
bc,breast_cancer(37%),9,51,logreg_C0.1,0,0.7083333333333333,0.8353870484396912,0.5398203894868359,0.05791430510031952,0.3610675104484058,0.201370170848241,0.375,0.8304994857780168,0.9182250567818113,0.945054945054945,0.958589480874317,0.9641927083333334,-0.049708667949650634,0.8660356078648178
bc,breast_cancer(37%),9,51,logreg_C1.0,1,0.725,0.8518535291230603,0.3425065957318785,0.0429951569239046,0.36684627566667927,0.1969989118594762,0.375,0.8206966723703599,0.8840585430410928,0.9247311827956989,0.9657826850920358,0.9730468750000001,-0.04847022223335096,0.8660356078648178
bc,breast_cancer(37%),9,51,logreg_C10.0,2,0.32318017144697786,0.915651723689769,0.11231505031952896,0.04140002234675485,0.3695920627172684,0.1921414355112545,0.375,0.8360527771317203,0.9171387823148716,0.9484536082474226,0.9855515077265791,0.9906249999999999,-0.03580242966769372,0.8829891223974392
bc,breast_cancer(37%),9,51,hgb_d3,3,0.663545958470948,0.9103355156170867,0.07502372215213937,0.016365459075725508,0.37212582177194975,0.2116920078453404,0.375,0.9174954751407579,0.9505863757867169,0.9690721649484536,0.9880932980461687,0.9854166666666666,-0.01666662326966663,0.9505863757867169
bc,breast_cancer(37%),9,51,hgb_d6,4,0.5550287671534027,0.9248653204852252,0.2535577033447174,0.009898704964426358,0.3766431675887865,0.212884183623352,0.375,0.9176408749273968,0.9669329602374179,0.9787234042553191,0.9861288265306123,0.9826822916666667,-0.016743404564440064,0.9499238445228836
