dataset,metric,kendalls_w,bca_lo,bca_hi,ranking_policy,repeat_count
mammography(2.3%),MCC@0.5,0.38573508005822416,0.0368230253976631,0.8218570035640793,midranks_with_standard_tie_corrected_denominator,12
ozone_level(2.9%),SoftMCC,0.8152777777777778,0.7555555555555555,0.8763888888888889,midranks_with_standard_tie_corrected_denominator,12
ozone_level(2.9%),MCC@best,0.24302649930264994,0.043761227610405885,0.41944444444444445,midranks_with_standard_tie_corrected_denominator,12
ozone_level(2.9%),F1@best,0.14985994397759103,0.016743166916963013,0.32492997198879553,midranks_with_standard_tie_corrected_denominator,12
ozone_level(2.9%),AUPRC,0.3611111111111111,0.11787370576892346,0.5597222222222222,midranks_with_standard_tie_corrected_denominator,12
ozone_level(2.9%),AUROC,0.48194444444444445,0.20657200985284643,0.6444444444444445,midranks_with_standard_tie_corrected_denominator,12
ozone_level(2.9%),Brier,0.5236111111111111,0.27397831149035223,0.7175250305244703,midranks_with_standard_tie_corrected_denominator,12
ozone_level(2.9%),MCC@0.5,0.3095959595959596,0.028130874312621294,0.6007126571816538,midranks_with_standard_tie_corrected_denominator,12
protein_homo(0.9%),SoftMCC,0.7930555555555555,0.6310885949717528,0.8817618107735335,midranks_with_standard_tie_corrected_denominator,12
protein_homo(0.9%),MCC@best,0.044655414908579466,0.001872042781546151,0.11382142599909868,midranks_with_standard_tie_corrected_denominator,12
protein_homo(0.9%),F1@best,0.044655414908579466,0.0017433751743375174,0.11211094043652871,midranks_with_standard_tie_corrected_denominator,12
protein_homo(0.9%),AUPRC,0.1736111111111111,0.011355212150593512,0.4236111111111111,midranks_with_standard_tie_corrected_denominator,12
protein_homo(0.9%),AUROC,0.4777777777777778,0.16954993629807147,0.714208398550015,midranks_with_standard_tie_corrected_denominator,12
protein_homo(0.9%),Brier,0.26805555555555555,0.18055555555555555,0.40555555555555556,midranks_with_standard_tie_corrected_denominator,12
protein_homo(0.9%),MCC@0.5,0.11099290780141843,0.010853976994174263,0.32652597072018646,midranks_with_standard_tie_corrected_denominator,12
sick_euthyroid(9.3%),SoftMCC,0.8305555555555556,0.767185585669777,0.8722222222222222,midranks_with_standard_tie_corrected_denominator,12
sick_euthyroid(9.3%),MCC@best,0.7911436541143654,0.7581171416822973,0.8347222222222223,midranks_with_standard_tie_corrected_denominator,12
sick_euthyroid(9.3%),F1@best,0.7911436541143654,0.7590655509065551,0.8305555555555556,midranks_with_standard_tie_corrected_denominator,12
sick_euthyroid(9.3%),AUPRC,0.7847222222222222,0.7515629265837176,0.8162316138272884,midranks_with_standard_tie_corrected_denominator,12
sick_euthyroid(9.3%),AUROC,0.7805555555555556,0.7527777777777778,0.8013888888888889,midranks_with_standard_tie_corrected_denominator,12
