dataset_key,dataset,repeat,seed,metric,ranking,selected_candidate
bc,breast_cancer(37%),10,52,Brier_neg,logreg_C1.0>logreg_C10.0>hgb_d6>logreg_C0.1>hgb_d3,logreg_C1.0
bc,breast_cancer(37%),10,52,MCC_05,logreg_C1.0>logreg_C10.0>logreg_C0.1>hgb_d3>hgb_d6,logreg_C1.0
bc,breast_cancer(37%),11,53,SoftMCC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),11,53,MCC_best,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),11,53,F1_best,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),11,53,AUPRC,logreg_C1.0>logreg_C10.0>hgb_d6>logreg_C0.1>hgb_d3,logreg_C1.0
bc,breast_cancer(37%),11,53,AUROC,logreg_C1.0>logreg_C10.0>logreg_C0.1>hgb_d3>hgb_d6,logreg_C1.0
bc,breast_cancer(37%),11,53,Brier_neg,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),11,53,MCC_05,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
synth5,synth(5%),0,42,SoftMCC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),0,42,MCC_best,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
synth5,synth(5%),0,42,F1_best,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
synth5,synth(5%),0,42,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),0,42,AUROC,hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1>hgb_d3,hgb_d6
synth5,synth(5%),0,42,Brier_neg,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),0,42,MCC_05,hgb_d3>hgb_d6>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d3
synth5,synth(5%),1,43,SoftMCC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C10.0>logreg_C1.0,hgb_d6
synth5,synth(5%),1,43,MCC_best,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),1,43,F1_best,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),1,43,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),1,43,AUROC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),1,43,Brier_neg,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),1,43,MCC_05,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),2,44,SoftMCC,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
synth5,synth(5%),2,44,MCC_best,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3
synth5,synth(5%),2,44,F1_best,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3
synth5,synth(5%),2,44,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),2,44,AUROC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C10.0>logreg_C1.0,hgb_d6
synth5,synth(5%),2,44,Brier_neg,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
