family,status,item,old,new,delta
stability,compared,iotid20(6.4%)|MCC@best|kendalls_w,0.7597222222222222,0.8194444444444444,0.05972222222222223
stability,compared,iotid20(6.4%)|F1@best|kendalls_w,0.7666666666666667,0.7777777777777778,0.011111111111111072
stability,compared,iotid20(6.4%)|AUPRC|kendalls_w,0.7722222222222223,0.7722222222222223,0.0
stability,compared,iotid20(6.4%)|AUROC|kendalls_w,0.7722222222222223,0.7611111111111111,-0.011111111111111183
stability,compared,iotid20(6.4%)|Brier|kendalls_w,0.7930555555555555,0.7819444444444444,-0.011111111111111072
stability,compared,iotid20(6.4%)|MCC@0.5|kendalls_w,0.7847222222222222,0.7680555555555556,-0.016666666666666607
stability,compared,creditcard(1%)|SoftMCC|kendalls_w,0.5611111111111111,0.6430555555555556,0.08194444444444449
stability,compared,creditcard(1%)|MCC@best|kendalls_w,0.1666666666666666,0.5263888888888889,0.3597222222222223
stability,compared,creditcard(1%)|F1@best|kendalls_w,0.1666666666666666,0.5263888888888889,0.3597222222222223
stability,compared,creditcard(1%)|AUPRC|kendalls_w,0.2430555555555555,0.4361111111111111,0.19305555555555562
stability,compared,creditcard(1%)|AUROC|kendalls_w,0.1819444444444444,0.2152777777777778,0.03333333333333338
stability,compared,creditcard(1%)|Brier|kendalls_w,0.3694444444444444,0.7402777777777778,0.3708333333333334
stability,compared,creditcard(1%)|MCC@0.5|kendalls_w,0.4958333333333333,0.6402777777777777,0.14444444444444443
stability,compared,creditcard(0.5%)|SoftMCC|kendalls_w,0.7569444444444444,0.8791666666666667,0.12222222222222223
stability,compared,creditcard(0.5%)|MCC@best|kendalls_w,0.2055555555555555,0.2291666666666666,0.02361111111111111
stability,compared,creditcard(0.5%)|F1@best|kendalls_w,0.1833333333333333,0.2055555555555555,0.0222222222222222
stability,compared,creditcard(0.5%)|AUPRC|kendalls_w,0.3291666666666666,0.4888888888888889,0.15972222222222227
stability,compared,creditcard(0.5%)|AUROC|kendalls_w,0.5944444444444444,0.5916666666666667,-0.002777777777777768
stability,compared,creditcard(0.5%)|Brier|kendalls_w,0.5125,0.6986111111111111,0.18611111111111112
stability,compared,creditcard(0.5%)|MCC@0.5|kendalls_w,0.4902777777777777,0.7513888888888889,0.2611111111111112
selection,compared,MCC@best|mean_diff,-0.0055761295497059,-0.0027323740168578,0.0028437555328480997
selection,compared,MCC@best|wilcoxon_p,0.0738256256281631,0.4321436227207259,0.3583179970925628
selection,compared,F1@best|mean_diff,-0.0054929410773518,-0.0018806320861919,0.0036123089911598997
selection,compared,F1@best|wilcoxon_p,0.07911272312061,0.6615589548322263,0.5824462317116162
selection,compared,AUPRC|mean_diff,-0.0002354153411389,-0.0055295423900023,-0.0052941270488633995
selection,compared,AUPRC|wilcoxon_p,0.4511075314818744,0.9124299753769708,0.4613224438950964
selection,compared,AUROC|mean_diff,-0.0031040426159676,-0.0009159530775446,0.0021880895384229996
selection,compared,AUROC|wilcoxon_p,0.5951376668487183,0.1511635525338333,-0.443974114314885
selection,compared,Brier|mean_diff,-0.0009940510228926,-0.0043459915530849,-0.0033519405301923
selection,compared,Brier|wilcoxon_p,0.3506564539028397,0.7764250047999479,0.4257685508971082
selection,compared,MCC@0.5|mean_diff,0.004557526531155,0.008872247594804,0.004314721063648999
selection,compared,MCC@0.5|wilcoxon_p,0.6308719173229826,0.2423282397056819,-0.38854367761730074
calibration,compared,SoftMCC|mean_spearman_vs_T1,0.8253472222222222,0.8381944444444444,0.012847222222222121
calibration,compared,MCC@best|mean_spearman_vs_T1,1.0,1.0,0.0
calibration,compared,F1@best|mean_spearman_vs_T1,1.0,1.0,0.0
calibration,compared,AUPRC|mean_spearman_vs_T1,1.0,1.0,0.0
calibration,compared,AUROC|mean_spearman_vs_T1,1.0,1.0,0.0
calibration,compared,Brier|mean_spearman_vs_T1,0.836111111111111,0.815972222222222,-0.02013888888888904
calibration,compared,MCC@0.5|mean_spearman_vs_T1,1.0,1.0,0.0
