dataset_key,dataset,repeat,seed,candidate,validation_brier,validation_log_loss,validation_ece_10,validation_prob_mean,validation_pos_rate
synth5,synth(5%),3,45,hgb_d3,0.03805700109626717,0.15108398213184343,0.007891707642478521,0.050968224551023615,0.05555555555555555
synth5,synth(5%),3,45,hgb_d6,0.0371029446178191,0.14476410708706225,0.007746415976217993,0.05196190317581693,0.05555555555555555
synth5,synth(5%),4,46,logreg_C0.1,0.046112249503096225,0.2300929418149519,0.013009159502472173,0.05497122561449866,0.05555555555555555
synth5,synth(5%),4,46,logreg_C1.0,0.046271520876250936,0.2308360572268359,0.011370380724891474,0.05425536561122799,0.05555555555555555
synth5,synth(5%),4,46,logreg_C10.0,0.04632561237785722,0.23129505632548178,0.011388952184071132,0.05423722549350304,0.05555555555555555
synth5,synth(5%),4,46,hgb_d3,0.04060909439892544,0.18350998492810114,0.010430293396712143,0.055727419113556255,0.05555555555555555
synth5,synth(5%),4,46,hgb_d6,0.0392430761095084,0.1543590532623637,0.004903395876189305,0.056833415205416495,0.05555555555555555
synth5,synth(5%),5,47,logreg_C0.1,0.0437634869036244,0.1844045499392254,0.01172042375286381,0.056397162858770146,0.05555555555555555
synth5,synth(5%),5,47,logreg_C1.0,0.04381003436684771,0.18576175348313093,0.011767756716479278,0.055800376484448765,0.05555555555555555
synth5,synth(5%),5,47,logreg_C10.0,0.04407016309367344,0.18655691743730318,0.010443070361892239,0.055121259402797045,0.05555555555555555
synth5,synth(5%),5,47,hgb_d3,0.03385571465164977,0.13307687062699303,0.015003666161233466,0.054901554828154925,0.05555555555555555
synth5,synth(5%),5,47,hgb_d6,0.033248676646345954,0.12755187417127295,0.01561293239543345,0.053732687405936744,0.05555555555555555
synth5,synth(5%),6,48,logreg_C0.1,0.04443050612423415,0.17280592437623177,0.010396096507899407,0.05058126785401482,0.05555555555555555
synth5,synth(5%),6,48,logreg_C1.0,0.04438304046407716,0.1721662618980966,0.008665036852823788,0.04996793141901299,0.05555555555555555
synth5,synth(5%),6,48,logreg_C10.0,0.044160422806855025,0.1710753363569078,0.008540848721536145,0.04988762223566222,0.05555555555555555
synth5,synth(5%),6,48,hgb_d3,0.03746001818409747,0.1477640833548865,0.01152650504680509,0.05311321375282714,0.05555555555555555
synth5,synth(5%),6,48,hgb_d6,0.034918146514955985,0.13665567285994296,0.019607802577002047,0.055801991482777535,0.05555555555555555
synth5,synth(5%),7,49,logreg_C0.1,0.045521055609697055,0.1680126835602273,0.006445687491932183,0.0586866162917105,0.05555555555555555
synth5,synth(5%),7,49,logreg_C1.0,0.04478099467149426,0.16608760209242177,0.007097650451445652,0.05888175935754721,0.05555555555555555
synth5,synth(5%),7,49,logreg_C10.0,0.04472402708795875,0.16594607958385457,0.006791846294401592,0.058628530022570347,0.05555555555555555
synth5,synth(5%),7,49,hgb_d3,0.03500502742741689,0.13710185328527294,0.024368774275989477,0.05318407767930042,0.05555555555555555
synth5,synth(5%),7,49,hgb_d6,0.033370648588601406,0.13576908955427847,0.018331796429747905,0.05638998397595849,0.05555555555555555
synth5,synth(5%),8,50,logreg_C0.1,0.0498221161789495,0.2135396876659162,0.01499709423201863,0.056593881802538167,0.05555555555555555
synth5,synth(5%),8,50,logreg_C1.0,0.04959192294154527,0.21268629196569747,0.014341316888213392,0.05703814822179202,0.05555555555555555
synth5,synth(5%),8,50,logreg_C10.0,0.04968199647743532,0.213050022315026,0.014608712435867612,0.056731100582654015,0.05555555555555555
synth5,synth(5%),8,50,hgb_d3,0.03770729478564607,0.14739229974168527,0.009307181914591182,0.05469656136062399,0.05555555555555555
synth5,synth(5%),8,50,hgb_d6,0.036500024196401866,0.1421101790453767,0.016197600898324557,0.05453573421530684,0.05555555555555555
synth5,synth(5%),9,51,logreg_C0.1,0.046367132554973635,0.18050492612646946,0.006137425461859839,0.050347776472226366,0.05555555555555555
synth5,synth(5%),9,51,logreg_C1.0,0.04611937069326737,0.17959409480613078,0.008546771429134282,0.050597993100334866,0.05555555555555555
synth5,synth(5%),9,51,logreg_C10.0,0.04615967518501324,0.17898421652543087,0.008539799531612616,0.05057771472924342,0.05555555555555555
synth5,synth(5%),9,51,hgb_d3,0.04123307821109639,0.16014334829163715,0.010105945441618863,0.05175680201009287,0.05555555555555555
synth5,synth(5%),9,51,hgb_d6,0.04124400422814639,0.15584893664418,0.015138388463262627,0.05489624851654066,0.05555555555555555
synth5,synth(5%),10,52,logreg_C0.1,0.04499213487613798,0.20028429341049617,0.006280906983689308,0.052162949858491334,0.05555555555555555
synth5,synth(5%),10,52,logreg_C1.0,0.04470633276055665,0.19804060501701085,0.007536958430484209,0.051191114969761094,0.05555555555555555
synth5,synth(5%),10,52,logreg_C10.0,0.04455946073421082,0.19787098249633422,0.0065908884920202835,0.05116867054349179,0.05555555555555555
synth5,synth(5%),10,52,hgb_d3,0.04002091833219799,0.1833930970552443,0.012018697898520577,0.049703894296662034,0.05555555555555555
synth5,synth(5%),10,52,hgb_d6,0.03965183448028133,0.17806418675668256,0.010967450364518488,0.04760449741786414,0.05555555555555555
synth5,synth(5%),11,53,logreg_C0.1,0.0435999984882854,0.1670410508871588,0.012604502658427021,0.05594638880837073,0.05555555555555555
synth5,synth(5%),11,53,logreg_C1.0,0.04322391548203274,0.1661925353696742,0.013122108230005371,0.05600047866923094,0.05555555555555555
synth5,synth(5%),11,53,logreg_C10.0,0.043217803594338036,0.16620842673662448,0.011517749218791421,0.056028828642098884,0.05555555555555555
synth5,synth(5%),11,53,hgb_d3,0.041139088937545566,0.1535440381501124,0.018628431369705944,0.05447244654199712,0.05555555555555555
synth5,synth(5%),11,53,hgb_d6,0.03680769121853523,0.137993174548915,0.0167126860747675,0.05346398428815026,0.05555555555555555
synth1,synth(1%),0,42,logreg_C0.1,0.013161438065728583,0.06889637393104223,0.0017966129792985133,0.012660237611303204,0.013333333333333334
synth1,synth(1%),0,42,logreg_C1.0,0.013183827255812632,0.07000507410667532,0.0015757786650642282,0.012552227657290421,0.013333333333333334
synth1,synth(1%),0,42,logreg_C10.0,0.013193784824610463,0.07020304082787565,0.0014548514889759108,0.012669988868623068,0.013333333333333334
synth1,synth(1%),0,42,hgb_d3,0.01351827211318345,0.06775187667604707,0.005266803377143379,0.013049215560799219,0.013333333333333334
synth1,synth(1%),0,42,hgb_d6,0.013093096373187313,0.06392559491458895,0.004433943182953173,0.012182604793383614,0.013333333333333334
synth1,synth(1%),1,43,logreg_C0.1,0.014170409792078625,0.07136576293454001,0.0050537221533357,0.013584781613011947,0.013333333333333334
synth1,synth(1%),1,43,logreg_C1.0,0.013387154113054151,0.0702143737688168,0.0031000472665457914,0.012877542192469919,0.013333333333333334
synth1,synth(1%),1,43,logreg_C10.0,0.01327551226335873,0.07034278386448845,0.003322935308291362,0.01268703424874668,0.013333333333333334
synth1,synth(1%),1,43,hgb_d3,0.012609656386706601,0.06768019126156134,0.002618891901389045,0.012512074739347841,0.013333333333333334
